0,1,2,3,4,5
1744470600000,1648.65,1653.13,1648.65,1650.49,1953.5881
1744470900000,1650.49,1663.68,1650.49,1662.97,6612.6318
1744471200000,1662.96,1667.26,1659.93,1661.51,3432.0074
1744471500000,1661.51,1662.99,1660.0,1660.24,1745.2834
1744471800000,1660.24,1661.45,1657.11,1660.88,1614.4351
1744472100000,1660.88,1667.23,1656.59,1659.34,4011.6613
1744472400000,1659.34,1664.15,1659.34,1660.57,2315.5511
1744472700000,1660.57,1662.09,1657.36,1658.21,2159.2438
1744473000000,1658.21,1660.35,1655.28,1655.82,2073.6817
1744473300000,1655.81,1657.0,1654.56,1655.87,2026.0363
1744473600000,1655.88,1662.33,1655.87,1660.01,2365.3359
1744473900000,1660.01,1660.01,1654.0,1657.1,1569.3833
1744474200000,1657.09,1657.23,1650.6,1654.02,3779.1984
1744474500000,1654.01,1655.04,1652.19,1653.92,1671.0213
1744474800000,1653.93,1660.48,1653.93,1658.4,2949.5717
1744475100000,1658.4,1658.41,1655.45,1657.7,1126.4986
1744475400000,1657.7,1658.69,1651.81,1652.16,1223.2117
1744475700000,1652.17,1654.88,1651.45,1654.25,1182.9247
1744476000000,1654.25,1654.66,1645.68,1646.2,2394.1334
1744476300000,1646.2,1646.66,1637.4,1640.78,7892.0684
1744476600000,1640.77,1643.32,1640.25,1642.31,2746.6634
1744476900000,1642.31,1643.98,1639.46,1643.72,4088.5112
1744477200000,1643.72,1646.83,1643.58,1645.88,2268.1365
1744477500000,1645.89,1647.15,1633.42,1634.26,5187.0041
1744477800000,1634.26,1637.13,1628.24,1629.73,6078.1565
1744478100000,1629.73,1635.28,1629.34,1633.52,2997.457
1744478400000,1633.51,1637.36,1632.12,1636.79,1795.8322
1744478700000,1636.79,1639.83,1636.01,1637.44,2247.7673
1744479000000,1637.44,1641.91,1637.33,1639.25,2127.0852
1744479300000,1639.25,1641.41,1637.0,1641.19,1823.2742
1744479600000,1641.19,1641.35,1637.14,1638.17,1506.1813
1744479900000,1638.16,1638.56,1632.12,1632.13,1346.7087
1744480200000,1632.13,1637.04,1632.13,1634.39,3002.4754
1744480500000,1634.38,1635.13,1632.5,1633.82,896.517
1744480800000,1633.82,1638.84,1633.34,1638.51,1608.4453
1744481100000,1638.51,1638.7,1635.91,1638.39,855.8445
1744481400000,1638.4,1641.28,1637.65,1640.58,1430.2631
1744481700000,1640.59,1644.0,1639.56,1641.57,1583.1945
1744482000000,1641.56,1645.83,1640.86,1645.05,1510.8943
1744482300000,1645.04,1646.19,1642.98,1645.53,1591.6729
1744482600000,1645.52,1646.4,1642.8,1644.09,1673.3002
1744482900000,1644.09,1645.59,1642.12,1644.43,970.8293
1744483200000,1644.43,1648.2,1644.43,1647.6,1195.6076
1744483500000,1647.6,1653.61,1647.52,1651.4,3676.4082
1744483800000,1651.41,1654.89,1650.61,1653.36,1084.7076
1744484100000,1653.36,1654.02,1648.5,1650.66,1766.1568
1744484400000,1650.67,1651.46,1646.19,1647.92,1631.6967
1744484700000,1647.92,1650.0,1646.15,1646.16,1005.0853
1744485000000,1646.16,1647.24,1645.28,1645.67,1039.5953
1744485300000,1645.68,1649.84,1644.35,1647.43,1256.0287
1744485600000,1647.43,1647.82,1643.55,1645.24,840.1142
1744485900000,1645.24,1646.2,1636.68,1640.04,2317.0748
1744486200000,1640.04,1640.06,1634.85,1638.25,1460.8824
1744486500000,1638.24,1641.41,1638.05,1638.57,1062.2664
1744486800000,1638.57,1639.81,1638.11,1638.89,681.5686
1744487100000,1638.9,1641.41,1638.31,1641.41,603.2356
1744487400000,1641.41,1641.41,1638.92,1640.51,489.7537
1744487700000,1640.52,1643.43,1639.46,1642.63,1045.7286
1744488000000,1642.64,1645.17,1641.24,1645.04,1491.0521
1744488300000,1645.04,1649.21,1644.4,1646.83,1531.427
1744488600000,1646.84,1647.61,1644.4,1644.94,974.9785
1744488900000,1644.95,1646.64,1643.21,1644.36,1085.6722
1744489200000,1644.35,1646.64,1642.62,1643.64,967.702
1744489500000,1643.65,1648.67,1643.57,1648.64,1419.8685
1744489800000,1648.64,1653.47,1648.0,1653.23,2286.0732
1744490100000,1653.23,1656.11,1647.84,1652.61,2565.2873
1744490400000,1652.61,1659.93,1651.45,1653.92,4269.9848
1744490700000,1653.93,1655.36,1648.31,1651.12,2590.6027
1744491000000,1651.13,1651.13,1647.63,1647.64,2331.6184
1744491300000,1647.63,1652.05,1647.0,1649.24,1177.8138
1744491600000,1649.24,1650.8,1646.38,1647.9,1181.4312
1744491900000,1647.89,1652.17,1647.43,1647.76,1021.6288
1744492200000,1647.76,1651.21,1647.06,1650.43,879.1657
1744492500000,1650.44,1653.37,1648.46,1652.48,1220.3871
1744492800000,1652.47,1653.55,1650.45,1651.67,913.2386
1744493100000,1651.67,1653.47,1649.3,1649.67,716.9057
1744493400000,1649.67,1650.09,1646.64,1649.75,1315.2042
1744493700000,1649.75,1650.02,1648.76,1649.79,640.3561
1744494000000,1649.79,1651.12,1649.44,1650.5,1343.9345
1744494300000,1650.51,1653.34,1647.98,1652.62,1418.8163
1744494600000,1652.63,1654.94,1651.47,1654.48,940.511
1744494900000,1654.47,1654.47,1645.57,1647.35,1497.065
1744495200000,1647.35,1652.88,1647.34,1649.01,1221.2281
1744495500000,1649.01,1652.71,1647.83,1650.46,731.3465
1744495800000,1650.46,1651.46,1648.65,1651.22,583.3399
1744496100000,1651.23,1655.48,1651.01,1655.05,1072.7948
1744496400000,1655.06,1656.34,1651.62,1651.85,978.4355
1744496700000,1651.85,1652.82,1649.13,1649.36,1083.2968
1744497000000,1649.36,1650.21,1647.67,1649.92,958.0193
1744497300000,1649.92,1652.7,1649.92,1650.27,934.9727
1744497600000,1650.27,1652.81,1649.94,1652.15,496.8458
1744497900000,1652.14,1652.14,1648.98,1649.17,526.2134
1744498200000,1649.17,1650.07,1648.15,1649.83,819.3912
1744498500000,1649.83,1650.89,1649.27,1649.85,408.5527
1744498800000,1649.85,1651.74,1648.08,1648.83,1090.2843
1744499100000,1648.82,1651.14,1648.82,1651.13,586.3253
1744499400000,1651.14,1651.5,1645.01,1646.89,797.7628
1744499700000,1646.9,1652.0,1646.02,1651.7,748.9529
1744500000000,1651.7,1651.7,1646.23,1646.84,663.4365
1744500300000,1646.84,1649.45,1646.71,1648.45,931.9581
1744500600000,1648.46,1649.38,1645.72,1645.93,585.9469
1744500900000,1645.93,1648.0,1645.74,1646.55,593.4174
1744501200000,1646.56,1648.75,1646.2,1648.07,525.6589
1744501500000,1648.06,1649.67,1646.26,1646.38,971.4473
1744501800000,1646.39,1646.8,1643.66,1644.52,1082.3114
1744502100000,1644.53,1646.0,1642.95,1644.18,686.5829
1744502400000,1644.19,1645.43,1640.96,1642.25,1403.0435
1744502700000,1642.24,1645.94,1641.9,1645.63,757.8837
1744503000000,1645.63,1647.33,1644.81,1647.31,652.275
1744503300000,1647.31,1649.49,1645.18,1647.44,1139.6942
